,title,media,date,datetime,desc,link,img
0,"Bolsonaro diz que, no que depender dele e de ministros, está acertada a Copa América no Brasil",G1,1 de jun. de 2021,2021-06-01 00:00:00.000000,"O presidente Jair Bolsonaro disse nesta terça-feira (1º) que, no que depender dele e de ministros de seu governo, inclusive o da pasta da Saúde, o Brasil ...",https://g1.globo.com/politica/noticia/2021/06/01/bolsonaro-diz-que-no-que-depender-dele-e-de-ministros-esta-acertado-a-copa-america-no-brasil.ghtml,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,"Bolsonaro diz que há ""outros mecanismos"" de evitar suspeita ...",,4 dias atrás,2021-08-10 16:33:39.730643,"Depois de afirmar que a proposta do voto impresso deve ser “derrotada” na Câmara dos Deputados, o presidente Jair Bolsonaro (sem partido) disse nesta 2ª ...",https://www.poder360.com.br/governo/bolsonaro-diz-que-ha-outros-mecanismos-de-evitar-suspeita-em-eleicoes/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,Bolsonaro diz que 'está feliz com o Parlamento' após derrota da PEC do voto impresso,Valor Investe,3 dias atrás,2021-08-11 16:33:39.736593,"O presidente Jair Bolsonaro afirmou hoje que ""está feliz com o Parlamento"" e o resultado da votação da PEC do voto impresso, derrotada ontem na Câmara, ...",https://valorinveste.globo.com/mercados/brasil-e-politica/noticia/2021/08/11/bolsonaro-diz-que-esta-feliz-com-o-parlamento-apos-derrota-da-pec-do-voto-impresso.ghtml,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Bolsonaro entrega MP do Auxílio Brasil e cobra do Congresso voto impresso,Estado de Minas,5 dias atrás,2021-08-09 16:33:39.741600,"Em reunião com o presidente Jair Bolsonaro, Arthur Lira será pressionado a cumprir promessa de levar projeto do voto impresso ao plenário (foto: Pablo ...","https://www.em.com.br/app/noticia/politica/2021/08/09/interna_politica,1293973/bolsonaro-entrega-mp-do-auxilio-brasil-e-cobra-do-congresso-voto-impresso.shtml","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,Se você fizer lockdown no Nordeste vai me foder e eu perco a ...,Poder360,15 de mar. de 2021,2021-03-15 00:00:00.000000,"O presidente Jair Bolsonaro recebeu a cardiologista do Incor e dos hospitais Star, da Rede D'Or, no domingo (14.mar.2021) e na manhã desta 2ª feira (15.mar) ...",https://www.poder360.com.br/governo/se-voce-fizer-lockdown-no-ne-vai-me-foder-e-perco-a-eleicao-diz-bolsonaro/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,"Bolsonaro sabe que eu falei a verdade, diz Luis Miranda sobre Ricardo Barros",CNN Brasil,1 mês atrás,2021-07-14 16:33:39.754600,"Ao deixar o Senado após depor à CPI da Pandemia, o deputado federal Luis Miranda (DEM-DF) reafirmou que o presidente Jair Bolsonaro (sem partido) ligou o ...",https://www.cnnbrasil.com.br/politica/2021/06/26/bolsonaro-sabe-que-eu-falei-a-verdade-diz-luis-miranda-sobre-ricardo-barros,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,TSE pede ao STF que Bolsonaro seja investigado por disseminação de fake news contra urnas,G1,2 semanas atrás,2021-07-31 16:33:39.760179,"Tribunal também abriu inquérito administrativo interno; as duas decisões foram unânimes. Pedidos se baseiam em ataques de Bolsonaro, sem provas, ...",https://g1.globo.com/politica/noticia/2021/08/02/tse-pede-ao-stf-que-bolsonaro-seja-investigado-por-disseminacao-de-fake-news-contra-urnas.ghtml,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,Bolsonaro passa mal e é internado no Hospital das Forças Armadas,Correio Braziliense,1 mês atrás,2021-07-14 16:33:39.766209,O presidente Jair Bolsonaro teve que ser internado na madrugada desta quarta-feira (14/7) no Hospital das Forças Armadas (HFA) devido a uma crise de soluços ...,https://www.correiobraziliense.com.br/politica/2021/07/4937487-bolsonaro-passa-mal-e-e-internado-no-hospital-das-forcas-armadas.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,Bolsonaro entrega ao Congresso MP do programa que vai substituir o Bolsa Família,G1,4 dias atrás,2021-08-10 16:33:39.774777,"O presidente Jair Bolsonaro entregou, na manhã desta segunda-feira (9), ao Congresso Nacional a medida provisória que cria o Auxílio Brasil.",https://g1.globo.com/jornal-nacional/noticia/2021/08/09/bolsonaro-entrega-ao-congresso-mp-do-programa-que-vai-substituir-o-bolsa-familia.ghtml,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,Bolsonaro ouve aliados e se reúne com Sarney um dia após início de CPI,CNN Brasil,30 de abr. de 2021,2021-04-30 00:00:00.000000,"Com o governo pressionado pela CPI da Pandemia, o presidente Jair Bolsonaro decidiu ouvir os apelos de aliados e procurar o ex-presidente José Sarney.",https://www.cnnbrasil.com.br/politica/2021/04/30/incentivado-por-aliados-bolsonaro-se-reune-com-sarney-um-dia-apos-cpi-instalada,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
