PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2018,40,1.41876,1.41974,4887,3886,X,6341,1563,1298,17975,2611,1266076
National,X,2018,41,1.40077,1.473,5332,4048,X,6279,1667,1326,18652,2651,1266257
National,X,2018,42,1.47139,1.58968,5589,4405,X,6802,1752,1400,19948,2623,1254844
National,X,2018,43,1.63634,1.72208,6249,4619,X,7487,1835,1444,21634,2678,1256271
National,X,2018,44,1.79125,1.84114,6869,4733,X,8291,1825,1451,23169,2666,1258405
National,X,2018,45,1.86871,1.92692,7509,4834,X,8451,1840,1451,24085,2672,1249921
National,X,2018,46,1.98121,2.0852,7821,5037,X,8076,1998,1487,24419,2665,1171062
National,X,2018,47,2.23487,2.40063,8607,5017,X,7197,2112,1702,24635,2618,1026187
National,X,2018,48,2.14572,2.24479,8890,6582,X,8788,2758,2078,29096,2666,1296156
National,X,2018,49,2.25131,2.29962,8809,5974,X,9276,2456,1862,28377,2658,1233986
National,X,2018,50,2.6411,2.73181,10156,6821,X,11376,2779,1981,33113,2650,1212127
National,X,2018,51,3.13484,3.24012,11515,8127,X,12816,3322,2480,38260,2596,1180820
National,X,2018,52,3.96566,4.18077,13615,10348,X,12044,4471,3534,44012,2581,1052725
National,X,2019,1,3.45972,3.63095,11686,11413,X,9572,5204,4260,42135,2630,1160440
National,X,2019,2,3.07558,3.13643,9369,10416,X,10758,4826,3446,38815,2656,1237552
National,X,2019,3,3.32558,3.36213,9703,10045,X,14265,4235,2951,41199,2658,1225384
National,X,2019,4,3.79773,3.88115,10765,11194,X,16965,4457,2860,46241,2677,1191426
National,X,2019,5,4.34227,4.52235,11628,13048,X,22217,5116,3255,55264,2668,1222020
National,X,2019,6,4.86953,5.20091,13899,15785,X,29772,6174,4102,69732,2673,1340765
National,X,2019,7,5.03689,5.42034,14246,15945,X,29255,6333,4277,70056,2655,1292464
National,X,2019,8,4.8812,5.27078,13634,15716,X,26502,6124,4485,66461,2655,1260932
National,X,2019,9,4.54791,4.58991,11647,13847,X,23468,5706,4134,58802,2658,1281115
National,X,2019,10,4.3762,4.39714,11168,13079,X,21760,5368,4056,55431,2637,1260615
National,X,2019,11,4.22692,4.12777,10986,12580,X,20081,5353,4177,53177,2646,1288273
National,X,2019,12,3.68251,3.50278,9721,10717,X,16800,4532,3898,45668,2653,1303765
National,X,2019,13,3.08559,3.04819,8644,8656,X,13642,3811,3195,37948,2619,1244935
National,X,2019,14,2.69831,2.67984,7606,7491,X,11768,3274,2802,32941,2620,1229217
National,X,2019,15,2.28676,2.26612,6754,6208,X,10005,2568,2319,27854,2568,1229148
National,X,2019,16,2.01217,1.96484,6325,4934,X,7904,2108,1876,23147,2542,1178058
National,X,2019,17,1.71323,1.72201,5698,4553,X,6621,2000,1738,20610,2516,1196855
National,X,2019,18,1.56678,1.5728,5369,4084,X,6207,1667,1537,18864,2485,1199386
National,X,2019,19,1.49827,1.45718,4789,3574,X,5906,1480,1358,17107,2444,1173980
National,X,2019,20,1.49961,1.50332,4649,3482,X,5530,1437,1361,16459,2336,1094840
National,X,2019,21,1.42033,1.40199,4601,3210,X,5232,1346,1367,15756,2222,1123834
National,X,2019,22,1.39215,1.40341,4442,3093,X,4659,1279,1301,14774,2195,1052725
National,X,2019,23,1.21655,1.23732,3937,2951,X,4114,1242,1205,13449,2257,1086942
National,X,2019,24,1.11224,1.12146,3506,2729,X,3739,1051,1079,12104,2204,1079303
National,X,2019,25,0.990825,1.01232,3056,2424,X,3284,998,928,10690,2157,1055994
National,X,2019,26,0.944753,0.959148,2955,2183,X,3109,910,862,10019,2081,1044573
National,X,2019,27,0.872915,0.878132,2512,1911,X,2718,797,776,8714,2153,992334
National,X,2019,28,0.807891,0.793654,2346,1882,X,2656,799,736,8419,2110,1060790
National,X,2019,29,0.752293,0.765466,2222,1861,X,2563,757,703,8106,2153,1058963
National,X,2019,30,0.731643,0.748057,2138,1805,X,2460,763,615,7781,2139,1040161
National,X,2019,31,0.725363,0.756941,2354,1830,X,2436,658,604,7882,2150,1041296
National,X,2019,32,0.753996,0.770017,2102,2042,X,2391,766,758,8059,2166,1046600
National,X,2019,33,0.72883,0.833167,2634,2046,X,2828,788,694,8990,2199,1079015
National,X,2019,34,0.83813,0.939669,2911,2211,X,3495,761,716,10094,2168,1074208
National,X,2019,35,0.988182,1.08153,3428,2559,X,4238,896,777,11898,2191,1100105
National,X,2019,36,1.13545,1.20226,3810,2927,X,4548,1033,870,13188,2215,1096931
National,X,2019,37,1.2314,1.27313,3912,3296,X,5502,1173,959,14842,2243,1165792
National,X,2019,38,1.24054,1.38637,4469,3577,X,5656,1251,1026,15979,2222,1152579
National,X,2019,39,1.32855,1.49126,4981,3879,X,6074,1368,1100,17402,2207,1166930
National,X,2019,40,1.48713,1.49706,6240,4826,X,7681,1774,1471,21992,2933,1469017
National,X,2019,41,1.58486,1.58902,6575,5145,X,7639,2027,1621,23007,2964,1447877
National,X,2019,42,1.71658,1.72889,7305,5554,X,8302,2118,1650,24929,2988,1441910
National,X,2019,43,1.82504,1.84934,7896,6081,X,9369,2311,1794,27451,3018,1484364
National,X,2019,44,2.0289,1.99981,8679,6138,X,10062,2286,1763,28928,3028,1446537
National,X,2019,45,2.37284,2.34432,10561,7165,X,12503,2466,1843,34538,3043,1473260
National,X,2019,46,2.60759,2.61274,11425,7862,X,13540,2744,1971,37542,3011,1436884
National,X,2019,47,2.87204,2.93354,12662,9064,X,16879,3106,2141,43852,3006,1494849
National,X,2019,48,3.38646,3.40967,14363,9116,X,14679,3210,2359,43727,3016,1282441
National,X,2019,49,3.2361,3.27933,13799,11873,X,16291,3947,2779,48689,3014,1484722
National,X,2019,50,3.92165,3.83913,14671,12790,X,21800,4141,2909,56311,2974,1466763
National,X,2019,51,5.04295,4.99508,17992,16235,X,29126,4851,3356,71560,2945,1432610
National,X,2019,52,7.04186,7.12083,24053,24597,X,33956,7666,5404,95676,2935,1343607
National,X,2020,1,5.8999,6.19771,21581,27645,X,23401,9243,6864,88734,2979,1431722
National,X,2020,2,4.91322,5.04241,15508,23559,X,22669,8210,5446,75392,3007,1495159
National,X,2020,3,5.27658,5.33052,16480,21353,X,29534,7382,4733,79482,2999,1491073
National,X,2020,4,5.88594,5.99014,18468,23505,X,35090,7946,4644,89653,2997,1496677
National,X,2020,5,6.5912,6.84319,20148,28659,X,43835,9479,5425,107546,2990,1571578
National,X,2020,6,6.65482,7.04842,20083,29648,X,45238,9998,5635,110602,2998,1569174
National,X,2020,7,5.98804,6.18841,17194,26205,X,36611,9181,5400,94591,2956,1528519
National,X,2020,8,5.37949,5.59046,15144,22964,X,28233,8284,5120,79745,2966,1426447
National,X,2020,9,5.01264,5.0862,13567,21839,X,25088,8207,5018,73719,2915,1449393
National,X,2020,10,5.1253,5.27119,13580,23557,X,25963,8801,5599,77500,2871,1470257
National,X,2020,11,5.62813,6.33114,13821,29315,X,27273,11239,6606,88254,2771,1393967
National,X,2020,12,6.34713,7.44708,10602,30556,X,17237,12402,6922,77719,2681,1043617
National,X,2020,13,5.37251,6.48539,5006,22174,X,8142,10698,6312,52332,2427,806921
